trust_code,trust_name,available_beds,occupied_beds,ae_attendances,ae_within_4h,emergency_admissions,rtt_total_waiting,rtt_over_18_weeks,provider_type_source,backlog_maintenance_cost,floor_area_m2,provider_group,provider_type_inference_source,is_acute_general,flag_specialist,flag_mental_health,flag_community,flag_ambulance,flag_non_acute,bed_occupancy_pressure,ae_delay_burden,emergency_admissions_intensity,waiting_list_burden,estates_burden,resource_capacity_strain,raw_components_available,primary_acute_eligible,rvpi_standardisation_sample,bed_occupancy_pressure_z,bed_occupancy_pressure_pct,ae_delay_burden_z,ae_delay_burden_pct,emergency_admissions_intensity_z,emergency_admissions_intensity_pct,waiting_list_burden_z,waiting_list_burden_pct,estates_burden_z,estates_burden_pct,resource_capacity_strain_z,resource_capacity_strain_pct,components_available,rvpi_z,rvpi_percentile,rvpi_rank,cluster
G6V2S,NORTH LONDON NHS FOUNDATION TRUST,0.0,0.0,,,,,,MENTAL HEALTH AND LEARNING DISABILITY,24368295.0,76854.0,mental_health,eric_trust_type,False,False,True,False,False,True,,,,,317.07256616441566,,1,False,full_provider_sensitivity,,,,,,,,,-0.4730003745402552,36.58536585365854,,,1,,,,
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2067.0666666666666,1865.0,46865.0,36160.0,6836.0,332660.0,123100.0,ACUTE - TEACHING,277768334.0,537714.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9022447268270658,0.22842206337351967,3.307101851254596,0.3700474959418024,516.5726278281763,22.672224730697284,6,True,full_provider_sensitivity,0.04418599929412983,34.22818791946309,0.05550937584426745,49.645390070921984,-0.7366424729477613,16.923076923076923,0.5002970241729043,68.0,-0.12395208382607735,60.48780487804878,-0.08205143571414154,56.92307692307692,6,-0.057108932196113106,23.846153846153847,100,1
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,1121.3777777777775,986.1222222222224,21385.0,16768.0,6222.0,115798.0,27118.0,ACUTE - LARGE,95596323.0,195825.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.8793844873370064,0.21589899462239892,5.548531568308828,0.2341836646574207,488.17220988127156,19.07029051563553,6,True,full_provider_sensitivity,-0.14602160704320094,21.476510067114095,-0.06103799732301302,42.5531914893617,0.01102488198177783,55.38461538461539,-0.730221490277768,15.333333333333332,-0.17364187969512845,57.073170731707314,-0.14790729284563628,36.15384615384615,6,-0.20796756420049478,15.384615384615385,111,1
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,1062.977777777778,1000.7111111111112,19798.0,13401.0,6766.0,133032.0,43210.0,ACUTE - TEACHING,65738637.0,165981.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9414224191997322,0.32311344580260637,6.365137768114728,0.32480906849479824,396.0612178502359,18.625036584855955,6,True,full_provider_sensitivity,0.3701622468861802,65.77181208053692,0.9367655681574149,83.68794326241135,0.2834178964860856,73.84615384615385,0.0905726552078192,38.0,-0.3348006485510909,45.36585365853659,-0.1560480798511406,32.30769230769231,6,0.19834493972254474,63.84615384615384,48,1
R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,39.0,35.82222222222222,,,,80.0,8.0,COMMUNITY,34950045.0,77804.0,community,eric_trust_type,False,False,False,True,False,True,0.9185185185185185,,,0.1,449.20627474165855,,3,False,full_provider_sensitivity,0.17959135954897607,43.624161073825505,,,,,-1.9455227381292803,9.333333333333334,-0.24181726241498286,52.19512195121951,,,3,,,,
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,,,3203.0,3191.0,0.0,16206.0,3058.0,COMMUNITY,5884406.0,29405.0,community,eric_trust_type,False,False,False,True,False,True,,0.0037464876678113823,,0.18869554485992843,200.11583064104744,,3,False,full_provider_sensitivity,,,-2.035459593802514,0.7092198581560284,,,-1.1422073224835678,12.0,-0.6776296276917969,21.463414634146343,,,3,,,,
R1F,ISLE OF WIGHT NHS TRUST,283.84444444444443,273.5444444444444,6188.0,4765.0,1540.0,26438.0,9724.0,ACUTE - MULTI-SERVICE,31575263.0,60998.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9637125185939089,0.22996121525533286,5.42550692867768,0.3678039186020123,517.6442342371881,21.80067329523213,6,True,full_provider_sensitivity,0.5556260279034854,78.52348993288591,0.06983366905832095,50.35460992907801,-0.03001209821185753,53.07692307692308,0.47997694759980164,66.0,-0.12207718523073587,60.97560975609756,-0.09798642047225664,51.53846153846153,6,0.14256015677445963,53.84615384615385,61,1
R1H,BARTS HEALTH NHS TRUST,2010.233333333333,1788.588888888889,45558.0,34557.0,5875.0,243022.0,91338.0,ACUTE - TEACHING,523060480.0,421665.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.8897419315612894,0.2414724087975767,2.922546304740744,0.37584251631539534,1240.4645393855312,22.663040774702775,6,True,full_provider_sensitivity,-0.05984295285499957,28.859060402684566,0.17696390973903392,55.319148936170215,-0.8649175761543717,11.538461538461538,0.5527825149316555,72.66666666666667,1.1425800279121707,90.2439024390244,-0.08221935030051772,56.15384615384615,6,0.14422442887882853,54.61538461538461,60,1
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,1035.1888888888889,1005.2333333333332,29625.0,24947.0,7426.0,163574.0,58826.0,ACUTE - TEACHING,463212926.0,198177.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9710627153391221,0.1579071729957806,7.173570040894308,0.35962928093706825,2337.3697553197394,28.617965588674103,6,True,full_provider_sensitivity,0.6167830131408175,84.56375838926175,-0.6007455250935505,21.27659574468085,0.5530843573301754,81.53846153846153,0.40593926663241836,60.0,3.06174179410049,99.02439024390245,0.026657340489062736,78.46153846153847,6,0.6772433744332357,96.15384615384616,6,1
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,87.0,78.37777777777778,,,,,,MENTAL HEALTH AND LEARNING DISABILITY,114932627.0,139714.0,mental_health,eric_trust_type,False,False,True,False,False,True,0.9008939974457216,,,,822.6278468872124,,2,False,full_provider_sensitivity,0.03294731552851583,32.88590604026846,,,,,,,0.41152670342742653,78.04878048780488,,,2,,,,
