trust_code,trust_name,available_beds,occupied_beds,ae_attendances,ae_within_4h,emergency_admissions,rtt_total_waiting,rtt_over_18_weeks,provider_type_source,backlog_maintenance_cost,floor_area_m2,provider_group,provider_type_inference_source,is_acute_general,flag_specialist,flag_mental_health,flag_community,flag_ambulance,flag_non_acute,bed_occupancy_pressure,ae_delay_burden,emergency_admissions_intensity,waiting_list_burden,estates_burden,resource_capacity_strain,raw_components_available,primary_acute_eligible,rvpi_standardisation_sample,bed_occupancy_pressure_z,bed_occupancy_pressure_pct,ae_delay_burden_z,ae_delay_burden_pct,emergency_admissions_intensity_z,emergency_admissions_intensity_pct,waiting_list_burden_z,waiting_list_burden_pct,estates_burden_z,estates_burden_pct,resource_capacity_strain_z,resource_capacity_strain_pct,components_available,rvpi_z,rvpi_percentile,rvpi_rank,cluster
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2067.0666666666666,1865.0,46865.0,36160.0,6836.0,332660.0,123100.0,ACUTE - TEACHING,277768334.0,537714.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9022447268270658,0.22842206337351967,3.307101851254596,0.3700474959418024,516.5726278281763,22.672224730697284,6,True,primary_acute_trusts,-0.6107921133714197,23.684210526315788,-0.39229019011209854,41.228070175438596,-1.2001037729428758,11.403508771929824,0.4600505205535184,65.48672566371681,-0.36080572527096627,44.24778761061947,-0.043124260767694995,57.01754385964912,6,-0.35784425698525624,14.912280701754385,98,2
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,1121.3777777777775,986.1222222222224,21385.0,16768.0,6222.0,115798.0,27118.0,ACUTE - LARGE,95596323.0,195825.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.8793844873370064,0.21589899462239892,5.548531568308828,0.2341836646574207,488.17220988127156,19.07029051563553,6,True,primary_acute_trusts,-1.1009787292819169,10.526315789473683,-0.558244748275782,32.45614035087719,-0.044147969738617454,54.385964912280706,-2.001257960326378,3.5398230088495577,-0.4048536272194032,40.707964601769916,-0.5839459544110941,33.33333333333333,6,-0.7822381648755319,5.263157894736842,109,1
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,1062.977777777778,1000.7111111111112,19798.0,13401.0,6766.0,133032.0,43210.0,ACUTE - TEACHING,65738637.0,165981.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9414224191997322,0.32311344580260637,6.365137768114728,0.32480906849479824,396.0612178502359,18.625036584855955,6,True,primary_acute_trusts,0.22928571922043486,57.01754385964912,0.8625513223982519,79.82456140350878,0.37699424516821156,72.80701754385966,-0.3594886024373482,28.31858407079646,-0.5477140581095936,30.08849557522124,-0.65079975311143,28.947368421052634,6,-0.014861854478578906,47.368421052631575,61,3
R1F,ISLE OF WIGHT NHS TRUST,283.84444444444443,273.5444444444444,6188.0,4765.0,1540.0,26438.0,9724.0,ACUTE - MULTI-SERVICE,31575263.0,60998.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9637125185939089,0.22996121525533286,5.42550692867768,0.3678039186020123,517.6442342371881,21.80067329523213,6,True,primary_acute_trusts,0.7072469582131978,72.80701754385966,-0.37189349058345855,42.10526315789473,-0.10759454807061045,51.75438596491229,0.419405884805121,62.83185840707964,-0.3591437069823723,45.13274336283185,-0.17398559672841274,50.877192982456144,6,0.019005916775577465,50.877192982456144,57,4
R1H,BARTS HEALTH NHS TRUST,2010.233333333333,1788.588888888889,45558.0,34557.0,5875.0,243022.0,91338.0,ACUTE - TEACHING,523060480.0,421665.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.8897419315612894,0.2414724087975767,2.922546304740744,0.37584251631539534,1240.4645393855312,22.663040774702775,6,True,primary_acute_trusts,-0.8788865444650967,18.421052631578945,-0.21934820985354497,47.368421052631575,-1.3984277320948448,5.263157894736842,0.5650330803529762,71.68141592920354,0.7619214120956873,85.84070796460178,-0.04450320950432855,56.14035087719298,6,-0.2023685339115253,32.45614035087719,78,2
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,1035.1888888888889,1005.2333333333332,29625.0,24947.0,7426.0,163574.0,58826.0,ACUTE - TEACHING,463212926.0,198177.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9710627153391221,0.1579071729957806,7.173570040894308,0.35962928093706825,2337.3697553197394,28.617965588674103,6,True,primary_acute_trusts,0.8648554587881426,80.7017543859649,-1.3267470480248982,7.017543859649122,0.7939209817537035,81.57894736842105,0.27131419018234537,55.75221238938053,2.463177129125189,98.23008849557522,0.8496143204450246,80.7017543859649,6,0.6526891720449178,95.6140350877193,6,5
RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,476.0,452.0,10349.0,7748.0,3508.0,60798.0,21592.0,ACUTE - MEDIUM,49785250.0,89667.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9495798319327731,0.2513286307855831,7.369747899159663,0.3551432612914899,555.2237724023331,21.741596638655462,6,True,primary_acute_trusts,0.4042031580308751,64.03508771929825,-0.08873446032538732,53.50877192982456,0.8950943230352018,85.08771929824562,0.19004548095579227,50.442477876106196,-0.3008593600597154,50.442477876106196,-0.18285581354996985,50.0,6,0.1528155546811328,65.78947368421053,40,4
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,1021.9777777777778,960.5222222222222,19464.0,12878.0,6643.0,99848.0,31934.0,ACUTE - TEACHING,120755625.0,223148.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.939866054926178,0.3383682696259762,6.500141338146078,0.319826135726304,541.1458986860738,19.045423905716586,6,True,primary_acute_trusts,0.1959129745162824,55.26315789473685,1.0647068481551165,85.08771929824562,0.44661862778598516,75.43859649122807,-0.4497593872872021,26.548672566371685,-0.322693573987678,47.78761061946903,-0.5876796156299188,32.45614035087719,6,0.057850978925430875,54.385964912280706,53,3
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,385.74444444444447,369.1777777777778,10748.0,7159.0,3460.0,66956.0,22506.0,ACUTE - MULTI-SERVICE,64112642.0,111757.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9570527407322061,0.33392259024934867,8.969669038223348,0.3361311906326543,573.6789820771853,27.863006596192065,6,True,primary_acute_trusts,0.5644429436636874,65.78947368421053,1.005793112923918,82.45614035087719,1.7202096997512881,94.73684210526315,-0.15437709501096658,34.51327433628318,-0.2722360747363975,52.21238938053098,0.7362590572538977,78.94736842105263,6,0.6000152739742378,93.85964912280701,8,4
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,616.8111111111111,582.0333333333333,13766.0,11417.0,4007.0,62892.0,21272.0,ACUTE - TEACHING,110311518.0,150328.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9436168104768252,0.17063780328345202,6.496316178192496,0.33823061756662215,733.8055319035709,22.31801559994956,6,True,primary_acute_trusts,0.27633952347167473,58.77192982456141,-1.1580419034215326,8.771929824561402,0.4446459066192739,74.56140350877193,-0.11634388728589641,38.05309734513274,-0.023886258924520384,64.60176991150442,-0.09630790337668568,54.385964912280706,6,-0.1122657538196144,39.473684210526315,70,4
