trust_code,trust_name,ae_attendances,ae_within_4h,emergency_admissions
8J094,BADGER LTD,2444,2444,0
AAH,TETBURY HOSPITAL TRUST LTD,667,666,0
ACH01,WHITSTABLE MEDICAL PRACTICE,5137,5137,0
AD913,BECKENHAM BEACON UCC,3896,3875,0
AJN,WORKINGTON HEALTH LIMITED,435,435,0
AQM01,FAVERSHAM MEDICAL PRACTICE MIU,3203,3203,0
AQN04,PHL LYMINGTON UTC,3122,3092,0
ARN03,LOCAL CARE DIRECT,2684,2675,0
DJV01,HERNE BAY HEALTH CARE LTD,2623,2623,0
DT301,HERTS URGENT CARE (ASCOTS LANE),2144,2034,0
G0Q0L,BARKING HOSPITAL UTC,3069,3052,0
G3P9C,TROWBRIDGE MINOR INJURIES UNIT,1340,1336,0
K6K0R,HAROLD WOOD POLYCLINIC UTC,2878,2857,0
NDJ,FIRST COMMUNITY HEALTH AND CARE CIC,2366,2341,0
NL7,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),3415,3415,0
NLX,SIRONA CARE & HEALTH,9347,9027,0
NNF09,BRANSHOLME HEALTH CENTRE,3817,3518,0
NNF16,BRIDLINGTON HOSPITAL,1610,1584,0
NNF94,EAST RIDING COMMUNITY HOSPITAL,2708,2581,0
NNFA7,GOOLE & DISTRICT HOSPITAL,1665,1631,0
NNJ,DHU HEALTH CARE C.I.C,1999,1999,0
NNJ07,LOUGHBOROUGH URGENT CARE CENTRE,7885,7835,0
NNJ0H,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,2739,2731,0
NNJ10,ENDERBY LEISURE CENTRE,493,492,0
NNJ11,LUTTERWORTH HOSPITAL,299,299,0
NNJ12,MARKET HARBOROUGH,488,488,0
NNJ13,MELTON MOWBRAY,400,400,0
NNJ14,OADBY,3115,3085,0
NNJ15,OAKHAM,774,774,0
NQT1I,CHIPPENHAM COMMUNITY HOSPITAL,1657,1632,0
NQT5F,SKELMERSDALE WALK IN CENTRE,1696,1680,0
NQT5H,PAULTON MEMORIAL HOSPITAL,1400,1391,0
NQTE4,SUMMERFIELD URGENT CARE CENTRE,3046,3046,0
NTP11,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,5451,5374,0
NTPAD,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,5735,5611,0
NTV0B,ASHFORD WALK-IN-CENTRE,2545,2499,0
NTV0W,WOKING WALK IN CENTRE,2883,2855,0
NV693,ROSSENDALE MIU & OOH,951,951,0
NVE43,HASTINGS GP LED HEALTH CENTRE,1070,1070,0
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,46865,36160,6836
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,21385,16768,6222
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,19798,13401,6766
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,3203,3191,0
R1F,ISLE OF WIGHT NHS TRUST,6188,4765,1540
R1H,BARTS HEALTH NHS TRUST,45558,34557,5875
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,29625,24947,7426
RA2,ROYAL SURREY NHS FOUNDATION TRUST,10349,7748,3508
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,19464,12878,6643
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,10748,7159,3460
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,13766,11417,4007
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,36939,25137,10303
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,44561,35941,7445
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,0,0,7
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,12287,9928,1882
RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,1896,1841,0
RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,16099,12566,4103
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,9089,7183,2510
RBK,WALSALL HEALTHCARE NHS TRUST,14445,12522,5571
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,11597,7131,4357
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,25674,19186,8706
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,126
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6640,5543,1192
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,10856,6902,3210
RBV,THE CHRISTIE NHS FOUNDATION TRUST,0,0,829
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,27101,21675,7835
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,19818,14066,7307
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,7127,5616,1457
RCF,AIREDALE NHS FOUNDATION TRUST,6526,4466,1977
RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,5494,5387,1297
RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",9086,6113,2319
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,9444,5916,5318
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,15047,11939,3057
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,25184,19320,5571
RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,11899,11661,0
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,36352,28553,7106
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,1
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,19564,15572,3870
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,27225,19069,8146
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,1589,1388,138
RET,THE WALTON CENTRE NHS FOUNDATION TRUST,0,0,180
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",31214,24448,5886
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,9461,7618,3924
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,9778,6752,2218
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,12851,9533,2386
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,21625,15608,5646
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9372,6694,2116
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,9239,7228,2285
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,17967,12844,3475
RH5,SOMERSET NHS FOUNDATION TRUST,22545,16418,4300
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,19576,13786,5589
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,13305,9644,5516
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,19423,14728,6527
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,18623,14265,5845
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,18612,14319,2630
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,17742,13198,2372
