trust_code,trust_name,available_beds,occupied_beds
G6V2S,NORTH LONDON NHS FOUNDATION TRUST,0.0,0.0
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2067.0666666666666,1865.0
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,1121.3777777777775,986.1222222222224
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,1062.977777777778,1000.7111111111112
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,39.0,35.82222222222222
R1F,ISLE OF WIGHT NHS TRUST,283.84444444444443,273.5444444444444
R1H,BARTS HEALTH NHS TRUST,2010.2333333333331,1788.588888888889
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,1035.1888888888889,1005.2333333333332
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,87.0,78.37777777777778
RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,476.0,452.0
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,1021.9777777777778,960.5222222222222
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,385.74444444444447,369.1777777777778
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,616.8111111111111,582.0333333333333
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,1701.1333333333334,1684.2444444444443
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,1410.0444444444445,1390.6444444444444
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,175.0222222222222,113.67777777777778
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,397.7,372.6555555555556
RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,159.96666666666667,145.4
RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,400.94444444444446,371.03333333333336
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,333.03333333333336,319.47777777777776
RBK,WALSALL HEALTHCARE NHS TRUST,478.4666666666666,443.27777777777777
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,785.0888888888888,724.3
RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,1198.7888888888888,1165.6777777777777
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,173.37777777777777,137.32222222222222
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,203.0,151.95555555555555
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,532.1,497.8555555555556
RBV,THE CHRISTIE NHS FOUNDATION TRUST,187.05555555555557,175.34444444444443
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,1075.8666666666666,1041.4666666666667
RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,838.8,831.1555555555556
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,285.02222222222224,281.8111111111112
RCF,AIREDALE NHS FOUNDATION TRUST,380.2111111111111,359.14444444444445
RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,140.32222222222222,97.38888888888889
RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",489.56666666666666,487.47777777777776
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,509.76666666666665,497.1555555555556
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,572.0,493.18888888888887
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,1233.2888888888888,1182.1
