trust_code,trust_name,provider_type_source,backlog_maintenance_cost,floor_area_m2
G6V2S,NORTH LONDON NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,24368295.0,76854.0
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,277768334.0,537714.0
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,ACUTE - LARGE,95596323.0,195825.0
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,ACUTE - TEACHING,65738637.0,165981.0
R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,COMMUNITY,34950045.0,77804.0
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,COMMUNITY,5884406.0,29405.0
R1F,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,31575263.0,60998.0
R1H,BARTS HEALTH NHS TRUST,ACUTE - TEACHING,523060480.0,421665.0
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,ACUTE - TEACHING,463212926.0,198177.0
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,114932627.0,139714.0
RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ACUTE - MEDIUM,49785250.0,89667.0
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,ACUTE - TEACHING,120755625.0,223148.0
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,ACUTE - MULTI-SERVICE,64112642.0,111757.0
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,110311518.0,150328.0
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,ACUTE - LARGE,64599825.0,320741.0
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ACUTE - TEACHING,151661426.0,238904.0
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ACUTE - SPECIALIST,34315839.0,53476.0
RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ACUTE - TEACHING,24053747.0,83303.0
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ACUTE - SMALL,146291959.0,82896.0
RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,4888362.0,120697.0
RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ACUTE - MEDIUM,34603723.0,53284.0
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ACUTE - SMALL,56526380.0,59330.0
