trust_code,trust_name
G6V2S,NORTH LONDON NHS FOUNDATION TRUST
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST
R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST
R1F,ISLE OF WIGHT NHS TRUST
R1H,BARTS HEALTH NHS TRUST
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST
RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST
RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST
RAT,NORTH EAST LONDON NHS FOUNDATION TRUST
RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST
RBK,WALSALL HEALTHCARE NHS TRUST
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST
RBS,ALDER HEY CHILDRENS NHS FOUNDATION TRUST
RBT,THE MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST
RBV,THE CHRISTIE NHS FOUNDATION TRUST
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST
RCF,AIREDALE NHS FOUNDATION TRUST
RCU,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST
RCX,THE QUEEN ELIZABETH HOSPITAL KING'S LYNN NHS FOUNDATION TRUST
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST
RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST
REF,ROYAL CORNWALL HOSPITALS NHS TRUST
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST
