trust_code,trust_name,rtt_total_waiting,rtt_over_18_weeks
A0C5S,SPAMEDICA GLOUCESTER,128,16.0
A1D1B,SPAMEDICA WEMBLEY,782,56.0
A1S9E,OPTEGRA EYE HOSPITAL YORK,944,18.0
A1U4J,SPAMEDICA PORTSMOUTH,392,44.0
A4M8P,BUCKSHAW HOSPITAL,5696,1706.0
A4Q9X,NEWMEDICA LEICESTER,1742,182.0
A4Y8X,ACES NOTTINGHAM,56,8.0
A5E1F,OPTEGRA EYE HOSPITAL PRESTON,466,4.0
A6U7U,OPTEGRA EYE HOSPITAL NOTTINGHAM,150,0.0
A8L1O,OPTEGRA EYE HOSPITAL LEICESTER,242,10.0
A9P5F,ACES WHITE CITY,214,32.0
AAH,TETBURY HOSPITAL TRUST LTD,514,32.0
AAV,COMMUNITY HEALTH AND EYECARE LIMITED,10620,1230.0
ACG08,NEWMEDICA OPHTHALMOLOGY - NUNEATON - CAMP HILL - GP LED HEALTH CENTRE,34,0.0
ACG12,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH EAST LINCOLNSHIRE - GRIMSBY,2114,570.0
ACG13,NEWMEDICA - GLOUCESTER (ASPEN MEDICAL CENTRE),1052,312.0
ACG19,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEEDS,1290,144.0
ACG20,NEWMEDICA - BRISTOL - LITFIELD HOUSE,804,160.0
ACG22,NEWMEDICA - BRIGG - RIVERSIDE SURGERY,1780,592.0
ACG24,NEWMEDICA - TEESSIDE - NORTH ORMESBY,2738,142.0
ACG26,NEWMEDICA - NORTH DERBYSHIRE - MIDLAND COURT,2482,224.0
ACG30,NEWMEDICA - WORKSOP - DUKERIES,324,24.0
ACG31,NEWMEDICA - WORCESTER,1628,152.0
ACG36,NEWMEDICA - EXETER - GLEN HOUSE,766,38.0
ACG37,NEWMEDICA - IPSWICH,2338,214.0
ACG38,NEWMEDICA - LANGFORD,808,160.0
ACG40,NEWMEDICA - WAKEFIELD,1218,204.0
ACM,EYE CARE MEDICAL LTD,14,0.0
ADP02,KIMS HOSPITAL (NEWNHAM COURT),2754,430.0
AHP,ST MICHAEL'S CLINIC LIMITED,3432,1226.0
AJ8,THE GRANGE MEDICAL CENTRE HQ,474,0.0
AQK,VERNOVA HEALTHCARE COMMUNITY INTEREST COMPANY,586,136.0
AVQ01,ONE ASHFORD HOSPITAL,1990,352.0
