source,trust_code,trust_name_master,trust_name_source,name_agrees_after_normalisation
beds,R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,False
beds,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,False
beds,RBS,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,False
beds,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,False
beds,RCU,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,False
beds,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,False
beds,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,False
beds,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,False
beds,RKL,WEST LONDON NHS TRUST,WEST LONDON MENTAL HEALTH NHS TRUST,False
beds,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,False
beds,RRE,MIDLANDS PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST,False
beds,RW1,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,SOUTHERN HEALTH NHS FOUNDATION TRUST,False
beds,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,LANCASHIRE CARE NHS FOUNDATION TRUST,False
beds,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,False
beds,RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,False
beds,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,False
beds,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,False
beds,RXF,MID YORKSHIRE TEACHING NHS TRUST,MID YORKSHIRE HOSPITALS NHS TRUST,False
beds,RY3,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,EAST OF ENGLAND COMMUNITY HEALTH AND CARE NHS TRUST,False
beds,TAH,SHEFFIELD HEALTH AND SOCIAL CARE NHS FOUNDATION TRUST,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST,False
ae,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ROYAL SURREY NHS FOUNDATION TRUST,False
ae,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,False
ae,RBS,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,False
ae,RCU,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,False
ae,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",False
ae,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,False
rtt,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ROYAL SURREY NHS FOUNDATION TRUST,False
rtt,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,False
rtt,RBS,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,False
rtt,RCU,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,False
rtt,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",False
rtt,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,False
