trust_code,trust_name,provider_type_source,rvpi_rank,rvpi_z,rvpi_percentile,cluster,components_available
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ACUTE - MULTI-SERVICE,1,1.0272831182329503,100.0,4,6
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,2,0.8178401027860062,99.12280701754386,4,6
RCF,AIREDALE NHS FOUNDATION TRUST,ACUTE - SMALL,3,0.7163733164717545,98.24561403508771,5,6
RCX,THE QUEEN ELIZABETH HOSPITAL KING'S LYNN NHS FOUNDATION TRUST,ACUTE - SMALL,4,0.7122039243927442,97.36842105263158,3,6
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,ACUTE - LARGE,5,0.6622339624599026,96.49122807017544,3,6
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,ACUTE - TEACHING,6,0.6526891720449178,95.6140350877193,5,6
RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ACUTE - MEDIUM,7,0.6185212508001986,94.73684210526315,4,6
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,ACUTE - MULTI-SERVICE,8,0.6000152739742378,93.85964912280701,4,6
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ACUTE - MEDIUM,9,0.584744070866462,92.98245614035088,3,6
RJ6,CROYDON HEALTH SERVICES NHS TRUST,ACUTE - MEDIUM,10,0.5196843908172158,92.10526315789474,5,6
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,ACUTE - TEACHING,11,0.47827122579412684,91.22807017543859,3,6
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ACUTE - TEACHING,12,0.45871650998839253,90.35087719298247,5,6
RKE,WHITTINGTON HEALTH NHS TRUST,ACUTE - MULTI-SERVICE,13,0.45488318513130643,89.47368421052632,5,6
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,ACUTE - MEDIUM,14,0.4210836346304698,88.59649122807018,4,6
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,15,0.41673178378623604,87.71929824561403,4,6
