trust_code,trust_name,baseline_score,baseline_rank,no_estates_score,no_estates_rank,no_estates_rank_movement,percentile_score,percentile_rank,percentile_rank_movement,complete_case_score,complete_case_rank,complete_case_rank_movement,baseline_top_decile_flag,no_estates_top_decile_flag,percentile_top_decile_flag,complete_case_top_decile_flag
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1.0272831182329505,1,1.0142570852458825,1,0,75.04916420845625,2,1,1.0177850453436437,1,0,True,True,True,True
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,0.8178401027860062,2,1.0053874057896692,2,0,79.32515654919008,1,-1,0.8086214049423518,2,0,True,True,True,True
RCF,AIREDALE NHS FOUNDATION TRUST,0.7163733164717545,3,-0.290512982214451,88,85,51.76991150442478,56,53,0.7077558758221546,3,0,True,False,False,True
RCX,THE QUEEN ELIZABETH HOSPITAL KING'S LYNN NHS FOUNDATION TRUST,0.7122039243927442,4,0.4936245785996438,10,6,71.91559281685038,3,-1,0.7032307056182928,4,0,True,True,True,True
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,0.6622339624599026,5,0.9646034024874286,3,-2,66.68219220617917,10,5,0.6537669593241838,5,0,True,True,True,True
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,0.6526891720449178,6,0.2905915806288631,30,24,67.33038348082596,8,2,0.6465316296832674,6,0,True,False,True,True
RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,0.6185212508001986,7,0.7731783021825528,5,-2,59.18723800652072,24,17,0.6135096313324887,7,0,True,True,False,True
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,0.6000152739742378,8,0.7744655437163644,4,-4,68.1092480463696,6,-2,0.5922546526064189,8,0,True,True,True,True
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,0.584744070866462,9,0.7288377574043182,6,-3,64.30031568597009,14,5,0.5747827635658221,9,0,True,True,False,True
RJ6,CROYDON HEALTH SERVICES NHS TRUST,0.5196843908172158,10,0.214663643037268,38,28,55.13377839879936,38,28,0.5165598634343574,10,0,True,False,False,True
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,0.4782712257941268,11,0.6454921230285211,7,-4,65.85545722713864,12,1,0.47016935039286833,11,0,True,True,True,True
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,0.4587165099883925,12,-0.2035443629992228,79,67,52.515137401024695,52,40,0.45271387789895234,12,0,True,False,False,True
RKE,WHITTINGTON HEALTH NHS TRUST,0.4548831851313064,13,0.10292519149648753,49,36,59.22734565026135,23,10,0.4505205699670182,13,0,False,False,False,False
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,0.4210836346304698,14,0.36902635237557424,25,11,68.36153806344771,5,-9,0.41502237225108846,14,0,False,False,True,False
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,0.416731783786236,15,0.4224263446585616,17,2,69.23226207110696,4,-11,0.41047219238814137,15,0,False,False,True,False
RBT,THE MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,0.4108060280516614,16,0.3777100849053433,24,8,66.7430005692698,9,-7,0.40342919334531446,16,0,False,False,True,False
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,0.4053284853066121,17,0.4232580783792249,16,-1,67.45846918180406,7,-10,0.39960469165894863,17,0,False,False,True,False
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,0.3910766067861073,18,0.4833750893708638,12,-6,64.49956010971381,13,-5,0.38214832759966627,18,0,False,True,False,False
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,0.3689115449926139,19,0.6415917120659334,8,-11,62.57439321016406,17,-2,0.3616545733784075,20,1,False,True,False,False
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0.3686035009802269,20,0.26350607828818007,34,14,62.69859752626403,15,-5,0.36385812880987195,19,-1,False,False,False,False
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,0.3638404783272335,21,0.3853365730188555,23,2,59.11866687367387,25,4,0.3606961574851899,21,0,False,False,False,False
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,0.3509145720561714,22,0.45403537205589634,14,-8,55.423588469699325,36,14,0.34790934005728835,22,0,False,False,False,False
RTK,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,0.3486444915648747,23,0.30481631682602717,28,5,66.60456450861669,11,-12,0.3423177482113749,23,0,False,False,True,False
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,0.3149540377159436,24,0.06292679392827003,57,33,56.506494850696065,33,9,0.3111914323506679,24,0,False,False,False,False
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",0.3130514588551973,25,0.49270054258777024,11,-14,58.28546291983647,28,3,0.3088294402132057,25,0,False,True,False,False
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,0.3126003944063477,26,0.5017520371454041,9,-17,59.957046007348765,21,-5,0.30700506776808256,26,0,False,True,False,False
RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,0.3040263225681758,27,0.45756521912067427,13,-14,51.25368731563422,59,32,0.2953140664163814,27,0,False,False,False,False
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,0.3019370695620958,28,0.29806800903950575,29,1,54.39243388707757,43,15,0.293663278982441,28,0,False,False,False,False
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,0.2658024178412821,29,0.4278068815128524,15,-14,62.610619469026545,16,-13,0.2601169594518562,29,0,False,False,False,False
RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,0.2611894076015504,30,-0.043988867534864265,64,34,51.75309216995291,57,27,0.25918472689480104,30,0,False,False,False,False
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,0.2592995012880958,31,0.13803659424536768,42,11,57.60880815608342,30,-1,0.2553725259951459,31,0,False,False,False,False
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,0.2461741430233951,32,0.3941092192174548,20,-12,59.97904052165813,20,-12,0.2384063688156819,32,0,False,False,False,False
RMC,BOLTON NHS FOUNDATION TRUST,0.2431187303661951,33,0.08950908169198313,53,20,61.93655229519226,18,-15,0.23734743724560156,33,0,False,False,False,False
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,0.2353865059296488,34,0.40511770886321496,19,-15,60.11359519743311,19,-15,0.2286645899171306,34,0,False,False,False,False
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,0.2312205062918773,35,0.31294586757574705,27,-8,57.46131553071469,31,-4,0.2271446580555666,35,0,False,False,False,False
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,0.185094183671405,36,0.14393175119994467,41,5,58.3346271282927,27,-9,0.17716109663441948,37,1,False,False,False,False
RJ2,THE LEWISHAM AND GREENWICH NHS TRUST,0.1809274765144859,37,0.3155418406369776,26,-11,52.31201159240283,54,17,0.177983044850298,36,-1,False,False,False,False
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,0.1742669305581042,38,0.3909853129423708,22,-16,49.3414583656782,66,28,0.17094092835384314,38,0,False,False,False,False
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,0.1639086130537191,39,0.2756726045635499,31,-8,55.02898100708999,39,0,0.15670297194213434,39,0,False,False,False,False
RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,0.1528155546811328,40,0.24355053762930315,36,-4,58.91942244993013,26,-14,0.14710463877602045,41,1,False,False,False,False
RLQ,WYE VALLEY NHS TRUST,0.1524334864852915,41,0.3916719011421357,21,-20,53.288826786730844,50,9,0.14674588822335255,42,1,False,False,False,False
RN7,DARTFORD AND GRAVESHAM NHS TRUST,0.1512827405578407,42,0.4139370929330612,18,-24,54.071572737152614,47,5,0.14725303770448728,40,-2,False,False,False,False
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.1426226766922517,43,0.13479837050065774,43,0,50.78015836050303,61,18,0.13695959793746695,43,0,False,False,False,False
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,0.1384523404467401,44,0.2755131916550254,32,-12,59.81214097189877,22,-22,0.1350245635818648,44,0,False,False,False,False
RJN,EAST CHESHIRE NHS TRUST,0.1216301988382089,45,0.2704960779087449,33,-12,44.612637789163166,82,37,0.11439714271089492,45,0,False,False,False,False
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,0.1139783400865961,46,0.04245943489456723,60,14,55.89711742483052,35,-11,0.1098765810317875,46,0,False,False,False,False
