trust_code,trust_name,provider_type_source,rvpi_rank,rvpi_z,rvpi_percentile,cluster,components_available
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ACUTE - SPECIALIST,1,1.5149674404064373,100.0,2,6
RCF,AIREDALE NHS FOUNDATION TRUST,ACUTE - SMALL,2,1.217831519725928,99.23076923076923,1,6
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ACUTE - MULTI-SERVICE,3,0.7901381056247136,98.46153846153847,1,6
RCX,THE QUEEN ELIZABETH HOSPITAL KING'S LYNN NHS FOUNDATION TRUST,ACUTE - SMALL,4,0.7683308339625223,97.6923076923077,1,6
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ACUTE - TEACHING,5,0.7594211870729649,96.92307692307692,1,6
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,ACUTE - TEACHING,6,0.6772433744332357,96.15384615384616,1,6
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,7,0.6072445706065259,95.38461538461539,1,6
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ACUTE - MEDIUM,8,0.6025337206548662,94.61538461538461,1,6
RKE,WHITTINGTON HEALTH NHS TRUST,ACUTE - MULTI-SERVICE,9,0.532479883511291,93.84615384615384,1,6
RBT,THE MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ACUTE - SMALL,10,0.5284957769648002,93.07692307692308,1,6
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ACUTE - MEDIUM,11,0.5270767645375661,92.3076923076923,1,6
RMC,BOLTON NHS FOUNDATION TRUST,ACUTE - MEDIUM,12,0.4945516401140467,91.53846153846153,1,6
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ACUTE - SMALL,13,0.4848831269028883,90.76923076923077,1,6
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,ACUTE - MULTI-SERVICE,14,0.47861882892921076,90.0,1,6
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,ACUTE - TEACHING,15,0.4680472813372267,89.23076923076924,1,6
RTK,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,ACUTE - MEDIUM,16,0.4663697505673563,88.46153846153845,1,6
RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ACUTE - MEDIUM,17,0.46340611928360226,87.6923076923077,1,6
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,ACUTE - LARGE,18,0.4510456221248549,86.92307692307692,1,6
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ACUTE - TEACHING,19,0.4492302932270246,86.15384615384616,1,6
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ACUTE - TEACHING,20,0.43312569420344293,85.38461538461539,1,6
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,ACUTE - MEDIUM,21,0.42885416533870857,84.61538461538461,1,6
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,22,0.41941466559958585,83.84615384615385,1,6
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,23,0.4080669320235555,83.07692307692308,1,6
RJ6,CROYDON HEALTH SERVICES NHS TRUST,ACUTE - MEDIUM,24,0.3953492895317952,82.3076923076923,1,6
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ACUTE - SMALL,25,0.3918993920959102,81.53846153846153,1,6
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ACUTE - SMALL,26,0.373746155258229,80.76923076923077,1,6
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ACUTE - TEACHING,27,0.37005956357566805,80.0,1,6
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,ACUTE - TEACHING,28,0.3682419754039737,79.23076923076923,1,6
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ACUTE - LARGE,29,0.3623198631233601,78.46153846153847,1,6
RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ACUTE - MEDIUM,30,0.3613187101470907,77.6923076923077,1,6
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,31,0.3498476122970087,76.92307692307693,1,6
RJN,EAST CHESHIRE NHS TRUST,ACUTE - SMALL,32,0.3427762311163665,76.15384615384615,1,6
RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,ACUTE - TEACHING,33,0.3388620977189543,75.38461538461539,1,6
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,ACUTE - SMALL,34,0.3274370847605704,74.61538461538461,1,6
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ACUTE - MEDIUM,35,0.3138818480805126,73.84615384615385,1,6
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ACUTE - MEDIUM,36,0.30764795847189125,73.07692307692307,1,6
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,ACUTE - TEACHING,37,0.2873225837184665,72.3076923076923,1,6
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,ACUTE - TEACHING,38,0.27627115365409466,71.53846153846153,1,6
RWJ,STOCKPORT NHS FOUNDATION TRUST,ACUTE - MEDIUM,39,0.26730036528068124,70.76923076923077,1,6
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,ACUTE - TEACHING,40,0.2634202587520311,70.0,1,6
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ACUTE - MEDIUM,41,0.2609319693507845,69.23076923076923,1,6
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,42,0.25792617931539913,68.46153846153847,1,6
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ACUTE - LARGE,43,0.25658831703944895,67.6923076923077,1,6
RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ACUTE - MEDIUM,44,0.25586097293190374,66.92307692307692,1,6
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,ACUTE - LARGE,45,0.24886730012844507,66.15384615384615,1,6
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ACUTE - LARGE,46,0.2413027475803432,65.38461538461539,1,6
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ACUTE - SMALL,47,0.22242910014066583,64.61538461538461,1,6
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,ACUTE - TEACHING,48,0.19834493972254474,63.84615384615384,1,6
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ACUTE - LARGE,49,0.19295073963056672,63.07692307692307,1,6
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ACUTE - TEACHING,50,0.19288507713305933,62.30769230769231,1,6
RNZ,SALISBURY NHS FOUNDATION TRUST,ACUTE - SMALL,51,0.1869390547828942,61.53846153846154,1,6
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ACUTE - LARGE,52,0.18509566015649562,60.76923076923077,1,6
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,ACUTE - LARGE,53,0.1731848582760508,60.0,1,6
RLQ,WYE VALLEY NHS TRUST,ACUTE - MULTI-SERVICE,54,0.17104766080382125,59.23076923076923,1,6
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ACUTE - MEDIUM,55,0.16430488536475465,58.46153846153847,,5
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,56,0.15419773906393341,57.692307692307686,1,6
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ACUTE - TEACHING,57,0.14876426195416648,56.92307692307692,1,6
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ACUTE - TEACHING,58,0.14775242152296578,56.15384615384615,1,6
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,ACUTE - LARGE,59,0.1460130834998485,55.38461538461539,1,6
R1H,BARTS HEALTH NHS TRUST,ACUTE - TEACHING,60,0.14422442887882853,54.61538461538461,1,6
R1F,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,61,0.14256015677445963,53.84615384615385,1,6
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,ACUTE - TEACHING,62,0.13648811078241174,53.07692307692308,1,6
RPA,MEDWAY NHS FOUNDATION TRUST,ACUTE - MEDIUM,63,0.1346703557450879,52.307692307692314,1,6
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,64,0.13167991224620282,51.53846153846153,1,6
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ACUTE - SMALL,65,0.125263213922249,50.76923076923077,1,6
RVJ,NORTH BRISTOL NHS TRUST,ACUTE - LARGE,66,0.12365257596154645,50.0,1,6
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,ACUTE - LARGE,67,0.116822067256985,49.23076923076923,1,6
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,ACUTE - TEACHING,68,0.11492574851697268,48.46153846153846,1,6
RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,ACUTE - LARGE,69,0.11451031236139518,47.69230769230769,1,6
RBK,WALSALL HEALTHCARE NHS TRUST,ACUTE - SMALL,70,0.11005110250114573,46.92307692307692,1,6
RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,71,0.10285970940096094,46.15384615384615,1,6
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,72,0.10217578035383891,45.38461538461539,1,6
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,ACUTE - TEACHING,73,0.09895618335835454,44.61538461538462,1,6
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ACUTE - LARGE,74,0.09855454777649199,43.84615384615385,1,6
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ACUTE - TEACHING,75,0.09381841697390701,43.07692307692308,1,6
RH5,SOMERSET NHS FOUNDATION TRUST,ACUTE - MULTI-SERVICE,76,0.0816891160045198,42.30769230769231,1,6
RJ2,THE LEWISHAM AND GREENWICH NHS TRUST,ACUTE - LARGE,77,0.07890698063756137,41.53846153846154,1,6
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ACUTE - LARGE,78,0.07468999815513383,40.76923076923077,1,6
RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",ACUTE - MEDIUM,79,0.07325512199306435,40.0,1,6
RN7,DARTFORD AND GRAVESHAM NHS TRUST,ACUTE - SMALL,80,0.07160719259315192,39.23076923076923,1,6
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ACUTE - TEACHING,81,0.06565596696396657,38.46153846153847,1,6
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,82,0.06064976525600305,37.69230769230769,1,6
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,83,0.04622840488381242,36.92307692307693,1,6
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,ACUTE - MEDIUM,84,0.038905222273031954,36.15384615384615,1,6
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ACUTE - MULTI-SERVICE,85,0.03306829070702046,35.38461538461539,1,6
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,ACUTE - SMALL,86,0.02325432121487726,34.61538461538461,1,6
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ACUTE - LARGE,87,0.018994562073362257,33.84615384615385,1,6
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ACUTE - MEDIUM,88,0.014342935455852418,33.07692307692307,1,6
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ACUTE - LARGE,89,-0.002098937745901041,32.30769230769231,1,6
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ACUTE - SMALL,90,-0.0036200965884163883,31.538461538461537,1,6
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ACUTE - TEACHING,91,-0.0057900514162553636,30.76923076923077,1,6
