trust_code,trust_name,primary_rvpi_rank,primary_rvpi_z,primary_rvpi_percentile,primary_cluster,full_rvpi_rank,full_rvpi_z,full_rvpi_percentile,full_cluster,rank_change_primary_minus_full,absolute_rank_change,percentile_change_primary_minus_full,ordered_cluster_label_agrees
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1,1.0272831182329503,100.0,4,3,0.7901381056247136,98.46153846153847,1,-2,2,1.538461538461533,False
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,2,0.8178401027860062,99.12280701754386,4,7,0.6072445706065259,95.38461538461539,1,-5,5,3.7381916329284763,False
RCF,AIREDALE NHS FOUNDATION TRUST,3,0.7163733164717545,98.24561403508771,5,2,1.217831519725928,99.23076923076923,1,1,1,-0.9851551956815143,False
RCX,THE QUEEN ELIZABETH HOSPITAL KING'S LYNN NHS FOUNDATION TRUST,4,0.7122039243927442,97.36842105263158,3,4,0.7683308339625223,97.6923076923077,1,0,0,-0.3238866396761182,False
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,5,0.6622339624599026,96.49122807017544,3,18,0.4510456221248549,86.92307692307692,1,-13,13,9.568151147098519,False
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,6,0.6526891720449178,95.6140350877193,5,6,0.6772433744332357,96.15384615384616,1,0,0,-0.5398110661268589,False
RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,7,0.6185212508001986,94.73684210526315,4,30,0.3613187101470907,77.6923076923077,1,-23,23,17.044534412955457,False
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,8,0.6000152739742378,93.85964912280701,4,14,0.47861882892921076,90.0,1,-6,6,3.8596491228070136,False
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,9,0.584744070866462,92.98245614035088,3,8,0.6025337206548662,94.61538461538461,1,1,1,-1.6329284750337365,False
RJ6,CROYDON HEALTH SERVICES NHS TRUST,10,0.5196843908172158,92.10526315789474,5,24,0.3953492895317952,82.3076923076923,1,-14,14,9.797570850202433,False
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,11,0.47827122579412684,91.22807017543859,3,15,0.4680472813372267,89.23076923076924,1,-4,4,1.9973009446693482,False
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,12,0.45871650998839253,90.35087719298247,5,5,0.7594211870729649,96.92307692307692,1,7,7,-6.572199730094454,False
RKE,WHITTINGTON HEALTH NHS TRUST,13,0.45488318513130643,89.47368421052632,5,9,0.532479883511291,93.84615384615384,1,4,4,-4.3724696356275246,False
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,14,0.4210836346304698,88.59649122807018,4,21,0.42885416533870857,84.61538461538461,1,-7,7,3.981106612685565,False
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,15,0.41673178378623604,87.71929824561403,4,22,0.41941466559958585,83.84615384615385,1,-7,7,3.8731443994601733,False
RBT,THE MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,16,0.41080602805166144,86.8421052631579,3,10,0.5284957769648002,93.07692307692308,1,6,6,-6.234817813765176,False
