Rank,ODS code,Trust,ERIC trust type,RVPI,Percentile,Cluster,Components
1,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ACUTE - MULTI-SERVICE,1.027,100.0,4,6
2,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,0.818,99.1,4,6
3,RCF,AIREDALE NHS FOUNDATION TRUST,ACUTE - SMALL,0.716,98.2,5,6
4,RCX,THE QUEEN ELIZABETH HOSPITAL KING'S LYNN NHS FOUNDATION TRUST,ACUTE - SMALL,0.712,97.4,3,6
5,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,ACUTE - LARGE,0.662,96.5,3,6
6,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,ACUTE - TEACHING,0.653,95.6,5,6
7,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ACUTE - MEDIUM,0.619,94.7,4,6
8,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,ACUTE - MULTI-SERVICE,0.600,93.9,4,6
9,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ACUTE - MEDIUM,0.585,93.0,3,6
10,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ACUTE - MEDIUM,0.520,92.1,5,6
11,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,ACUTE - TEACHING,0.478,91.2,3,6
12,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ACUTE - TEACHING,0.459,90.4,5,6
13,RKE,WHITTINGTON HEALTH NHS TRUST,ACUTE - MULTI-SERVICE,0.455,89.5,5,6
14,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,ACUTE - MEDIUM,0.421,88.6,4,6
15,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,0.417,87.7,4,6
16,RBT,THE MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ACUTE - SMALL,0.411,86.8,3,6
17,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ACUTE - SMALL,0.405,86.0,4,6
18,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ACUTE - SMALL,0.391,85.1,3,6
19,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ACUTE - MEDIUM,0.369,84.2,3,6
20,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,0.369,83.3,2,6
21,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ACUTE - LARGE,0.364,82.5,4,6
22,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ACUTE - SMALL,0.351,81.6,4,6
23,RTK,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,ACUTE - MEDIUM,0.349,80.7,3,6
24,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ACUTE - SMALL,0.315,79.8,5,6
25,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ACUTE - TEACHING,0.313,78.9,4,6
