ODS code,Trust,Primary rank,Full-provider rank,Rank difference,Primary percentile,Full-provider percentile,Primary cluster,Full-provider cluster
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1,3,-2,100.0,98.5,4,1
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,2,7,-5,99.1,95.4,4,1
RCF,AIREDALE NHS FOUNDATION TRUST,3,2,1,98.2,99.2,5,1
RCX,THE QUEEN ELIZABETH HOSPITAL KING'S LYNN NHS FOUNDATION TRUST,4,4,0,97.4,97.7,3,1
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,5,18,-13,96.5,86.9,3,1
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,6,6,0,95.6,96.2,5,1
RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,7,30,-23,94.7,77.7,4,1
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,8,14,-6,93.9,90.0,4,1
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,9,8,1,93.0,94.6,3,1
RJ6,CROYDON HEALTH SERVICES NHS TRUST,10,24,-14,92.1,82.3,5,1
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,11,15,-4,91.2,89.2,3,1
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,12,5,7,90.4,96.9,5,1
RKE,WHITTINGTON HEALTH NHS TRUST,13,9,4,89.5,93.8,5,1
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,14,21,-7,88.6,84.6,4,1
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,15,22,-7,87.7,83.8,4,1
RBT,THE MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,16,10,6,86.8,93.1,3,1
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,17,26,-9,86.0,80.8,4,1
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,18,13,5,85.1,90.8,3,1
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,19,35,-16,84.2,73.8,3,1
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,20,23,-3,83.3,83.1,2,1
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,21,46,-25,82.5,65.4,4,1
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,22,65,-43,81.6,50.8,4,1
RTK,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,23,16,7,80.7,88.5,3,1
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,24,25,-1,79.8,81.5,5,1
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",25,57,-32,78.9,56.9,4,1
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,26,43,-17,78.1,67.7,4,1
RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,27,17,10,77.2,87.7,3,1
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,28,11,17,76.3,92.3,3,1
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,29,38,-9,75.4,71.5,4,1
RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,30,33,-3,74.6,75.4,5,1
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,31,36,-5,73.7,73.1,4,1
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,32,27,5,72.8,80.0,3,1
RMC,BOLTON NHS FOUNDATION TRUST,33,12,21,71.9,91.5,2,1
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,34,42,-8,71.1,68.5,3,1
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,35,58,-23,70.2,56.2,4,1
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,36,19,17,69.3,86.2,3,1
RJ2,THE LEWISHAM AND GREENWICH NHS TRUST,37,77,-40,68.4,41.5,4,1
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,38,91,-53,67.5,30.8,4,1
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,39,28,11,66.7,79.2,3,1
RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,40,44,-4,65.8,66.9,4,1
RLQ,WYE VALLEY NHS TRUST,41,54,-13,64.9,59.2,3,1
RN7,DARTFORD AND GRAVESHAM NHS TRUST,42,80,-38,64.0,39.2,4,1
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,43,31,12,63.2,76.9,4,1
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,44,41,3,62.3,69.2,2,1
RJN,EAST CHESHIRE NHS TRUST,45,32,13,61.4,76.2,3,1
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,46,47,-1,60.5,64.6,4,1
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,47,29,18,59.6,78.5,3,1
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,48,55,-7,58.8,58.5,,
RBK,WALSALL HEALTHCARE NHS TRUST,49,70,-21,57.9,46.9,4,1
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,50,20,30,57.0,85.4,3,1
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,51,83,-32,56.1,36.9,4,1
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,52,62,-10,55.3,53.1,4,1
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,53,40,13,54.4,70.0,3,1
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,54,53,1,53.5,60.0,3,1
RWJ,STOCKPORT NHS FOUNDATION TRUST,55,39,16,52.6,70.8,3,1
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,56,45,11,51.8,66.2,3,1
R1F,ISLE OF WIGHT NHS TRUST,57,61,-4,50.9,53.8,4,1
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,58,56,2,50.0,57.7,3,1
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,59,37,22,49.1,72.3,3,1
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,60,59,1,48.2,55.4,3,1
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,61,48,13,47.4,63.8,3,1
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,62,85,-23,46.5,35.4,4,1
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,63,73,-10,45.6,44.6,3,1
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,64,87,-23,44.7,33.8,1,1
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,65,89,-24,43.9,32.3,4,1
RPA,MEDWAY NHS FOUNDATION TRUST,66,63,3,43.0,52.3,2,1
RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",67,79,-12,42.1,40.0,2,1
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,68,34,34,41.2,74.6,2,1
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,69,78,-9,40.4,40.8,2,1
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,70,72,-2,39.5,45.4,4,1
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,71,67,4,38.6,49.2,2,1
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,72,52,20,37.7,60.8,2,1
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,73,74,-1,36.8,43.8,1,1
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,74,75,-1,36.0,43.1,3,1
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,75,49,26,35.1,63.1,3,1
RNZ,SALISBURY NHS FOUNDATION TRUST,76,51,25,34.2,61.5,3,1
RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,77,71,6,33.3,46.2,3,1
R1H,BARTS HEALTH NHS TRUST,78,60,18,32.5,54.6,2,1
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,79,86,-7,31.6,34.6,1,1
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,80,82,-2,30.7,37.7,3,1
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,81,68,13,29.8,48.5,3,1
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,82,108,-26,28.9,17.7,4,1
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,83,99,-16,28.1,24.6,2,1
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,84,105,-21,27.2,20.0,3,1
RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,85,69,16,26.3,47.7,2,1
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,86,98,-12,25.4,25.4,1,1
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,87,94,-7,24.6,28.5,3,1
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,88,88,0,23.7,33.1,2,1
RVJ,NORTH BRISTOL NHS TRUST,89,66,23,22.8,50.0,3,1
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,90,96,-6,21.9,26.9,2,1
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,91,84,7,21.1,36.2,3,1
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,92,64,28,20.2,51.5,2,1
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,93,92,1,19.3,30.0,3,1
RH5,SOMERSET NHS FOUNDATION TRUST,94,76,18,18.4,42.3,2,1
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,95,90,5,17.5,31.5,4,1
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,96,93,3,16.7,29.2,1,1
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,97,50,47,15.8,62.3,2,1
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,98,100,-2,14.9,23.8,2,1
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,99,95,4,14.0,27.7,2,1
RXF,MID YORKSHIRE TEACHING NHS TRUST,100,102,-2,13.2,22.3,2,1
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,101,101,0,12.3,23.1,3,1
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,102,106,-4,11.4,19.2,2,1
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,103,107,-4,10.5,18.5,2,1
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,104,97,7,9.6,26.2,2,1
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,105,114,-9,8.8,13.1,4,1
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,106,113,-7,7.9,13.8,1,1
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,107,81,26,7.0,38.5,2,1
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,108,104,4,6.1,20.8,,
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,109,111,-2,5.3,15.4,1,1
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,110,103,7,4.4,21.5,2,1
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,111,110,1,3.5,16.2,2,1
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,112,109,3,2.6,16.9,2,1
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,113,121,-8,1.8,7.7,1,1
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,114,120,-6,0.9,8.5,1,1
